id,product_code,name,category_name,category_slug,price,stock_qty,status,image_url,slug,created_at
64,PC-000064,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000064,PC Gaming,pc-gaming,15990000.00,5,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000064-64,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
65,PC-000065,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000065,PC Gaming,pc-gaming,16160000.00,6,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000065-65,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
66,PC-000066,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000066,PC Gaming,pc-gaming,16330000.00,7,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000066-66,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
67,PC-000067,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000067,PC Gaming,pc-gaming,16500000.00,8,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000067-67,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
68,PC-000068,PC Gaming KAH PC Gaming 25251340 - PC-000068,PC Gaming,pc-gaming,16670000.00,9,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000068-68,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
69,PC-000069,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000069,PC Gaming,pc-gaming,16840000.00,10,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000069-69,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
70,PC-000070,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000070,PC Gaming,pc-gaming,17010000.00,11,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000070-70,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
71,PC-000071,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000071,PC Gaming,pc-gaming,17180000.00,12,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000071-71,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
72,PC-000072,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000072,PC Gaming,pc-gaming,17350000.00,13,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000072-72,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
73,PC-000073,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000073,PC Gaming,pc-gaming,17520000.00,14,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000073-73,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
